,pagerank,eigenvector,bidirectional_links,reputaion
8711952,4.81E-06,0,0.341538462,0.376199616
9011502,2.24E-05,0,0.6,0.989224138
9272142,5.43E-08,0.000878194,0.423208191,0.702839757
9427822,,,0.621546961,0.723453018
9564632,0.000122033,0,0.117122852,0.76091919
9605632,1.47E-05,0,0.209271523,0.285714286
9664862,2.87E-08,0,0.217573222,0.526732673
10352582,6.85E-08,0.000957313,0.595744681,0.925206875
11174562,9.11E-06,0,0,0
11630862,,,0.512195122,0.764367816
11690822,2.35E-05,0,0.305475504,0.734506503
11990112,3.34E-08,4.66E-05,0.270948012,0.504795558
12287842,6.01E-07,0.00071694,0.424528302,0.917381138
12551742,3.47E-08,5.20E-05,0.495219885,0.905305088
12623352,,,0.25462963,0.252595156
12922462,4.80E-05,0,0.641750228,0.643483913
13126372,2.12E-05,0,0.18532207,0.315009042
13260592,3.47E-08,5.20E-05,0.341895483,0.622408027
13381912,2.20E-05,0,0.219202899,0.290944123
13971722,4.17E-05,0,0.274292743,0.511711712
13972932,4.95E-08,0.001160098,0.192513369,0.81672656
14057516,3.76E-08,0.000208818,0.204918033,0.256601219
14196068,4.30E-05,0,0.571038251,0.828330206
14235705,2.87E-08,0,0.199880311,0.396315029
14247395,5.54E-08,0.000615084,0.388439306,0.622105723
14265485,3.25E-05,0,0.536168133,0.39305844
14300066,9.05E-05,0,0.947368421,0.924302789
14307043,4.46E-05,0,0.425227568,0.703660886
14391096,1.95E-05,0,0.542207792,0.464968153
14391111,4.95E-08,0.000107193,0.2194,0.5
14443013,6.71E-08,0.001160098,0.363520948,0.679071031
14492555,1.47E-06,0,0.405797101,0.299492386
14522589,1.88E-05,0,0.371369295,0.615015974
14558848,1.56E-05,0,0.458947368,0.573225517
14573824,5.02E-08,0.000197681,0.430656934,0.760907504
14587971,2.87E-08,0,0.191884457,0.42278682
14626600,4.33E-08,0.000208122,0.759562842,0.877427997
14716324,2.50E-05,0,0.399663677,0.364672365
14721932,5.13E-08,0.000132947,0.558758315,0.526260504
14739109,4.96E-08,0.00033666,0.493720225,0.503654342
14764956,3.20E-06,0,0.238255034,0.303738318
14791386,4.83E-08,0.000153829,0.478273059,0.583634878
14807739,2.87E-08,0,0.168316832,0.249070632
14824425,1.72E-05,0,0.662921348,0.887198986
14851579,9.89E-06,0,0.47752809,0.696763203
14865840,3.48E-05,0,0.295418641,0.530066815
14867242,4.15E-08,0.000109281,0,0
14905688,4.95E-08,0.000859864,0.727678571,0.875900277
14962822,1.44E-05,0,0.849246231,0.747782003
14969657,5.67E-06,0,0.068888889,0.210526316
14980820,4.26E-08,0.000163342,0.001905972,0.76057195
14982885,2.87E-08,0,0.383139535,0.744047619
15016610,8.89E-06,0,0.234567901,0.528384279
15044720,9.28E-06,0,0.313370474,0.345487694
15084319,2.57E-06,0,0.202185792,0.357894737
15097876,1.61E-05,0,0.266228431,0.35058698
15224719,3.68E-08,0.000109745,0.085339168,0.784806153
15279707,2.87E-08,0,0.488146552,0.681099656
15318630,3.97E-05,0,0.302023121,0.539893617
15321243,2.77E-05,0,0.264918033,0.424962293
15324749,4.96E-08,0.00033666,0.429964539,0.371937639
15328663,4.83E-05,0,0.832047986,0.459346769
15367428,,,0.273858921,0.392947103
15448383,3.18E-08,5.34E-06,0,0.733030347
15455450,3.34E-08,4.66E-05,0.391304348,0.329283111
15530118,2.87E-08,0,0.4,0.5703125
15595027,3.34E-05,0,0.777372263,0.714583333
15682749,1.19E-05,0,0.643776824,0.675487465
15805367,3.27E-08,1.37E-05,0.837370242,0.926798379
15809964,2.87E-08,0,0.468787088,0.508630744
15836275,3.08E-06,0,0.108655617,0.188340807
15871870,8.12E-05,0,0.631683168,0.687306502
15914878,2.87E-08,0,0.320123124,0.357001484
15927815,3.47E-05,0,0.517663043,0.491009682
16109017,2.01E-05,0,0.334846765,0.481459682
16142914,2.35E-05,0,0.648058252,0.70014556
16180264,3.73E-05,0,0.437601297,0.712220149
16257044,8.25E-06,0,0.613756614,0.472067039
16303802,2.87E-08,0,0.084636615,0.120550162
16408909,7.89E-06,0,0.167824074,0.271500843
16459227,3.74E-06,0,0.411214953,0.586872587
16468451,8.79E-08,0.000338052,0.644902635,0.541009464
16484437,4.12E-05,0,0.375378406,0.630912477
16496132,0.000114152,0,0.951658768,0.815881326
16527716,4.37E-08,0.000342925,0.233788396,0.62242268
16644246,8.08E-08,0.000317635,0.526077098,0.430232558
16649518,3.52E-06,0,0.372384937,0.377604167
16649872,3.79E-06,0,0.508287293,0.461309524
16944013,4.95E-08,0.000902324,0.34414557,0.442434936
16945428,5.25E-05,0,0.391880696,0.64034565
16957615,0.000122033,0,0.149,0.5
17050665,2.87E-08,0,0.174668029,0.599918267
17078096,2.02E-05,0,0.391095066,0.33253012
17085112,8.52E-06,0,0.178571429,0.806004619
17127177,5.00E-05,0,0.239327296,0.468728522
17225810,2.40E-06,0,0.19205298,0.388663968
17242852,6.83E-08,0.000529469,0.379792746,0.398191456
17261097,5.78E-08,0.001160098,0.488549618,0.912550067
17283343,4.52E-05,0,0.458385876,0.539488966
17284137,4.96E-08,0.00033666,0.4174,0.5
17332562,2.26E-05,0,0.894837476,0.638312586
17372254,2.14E-05,0,0.204807692,0.457768509
17436585,0.00011808,0,0.68875502,0.764390475
17455999,3.90E-05,0,0.364050057,0.644848485
17507350,8.39E-08,0.000117634,0.411996843,0.654768392
17520304,2.87E-08,0,0.594222834,0.637888096
17523808,8.11E-08,0.001160098,0.413033502,0.420478723
17557537,0.000122033,0,0.870951914,0.550903482
17608721,2.87E-08,0,0.197530864,0.27027027
17671779,2.87E-08,0,0.491847826,0.60920354
17718315,,,0.190740741,0.405940594
17748368,9.51E-08,0.00056984,0.455696203,0.713673806
17749741,4.95E-08,0.000859864,0.371145374,0.600703606
17801629,3.47E-05,0,0,0
17852114,3.15E-06,0,0.394557823,0.467391304
17889654,,,0.428571429,0.781555659
17890482,0.000122033,0,0.091091091,0.833472245
17949945,1.15E-05,0,0.157749077,0.303789338
17992531,2.59E-06,0,0.40776699,0.504807692
18046941,2.87E-08,0,0.303406998,0.697155605
18065895,9.40E-06,0,0.348101266,0.449477352
18173213,1.11E-05,0,0.159090909,0.311095984
18273041,1.55E-05,0,0.325031133,0.442361111
18313402,1.77E-05,0,0.627066116,0.426540284
18378944,8.72E-06,0,0,0
18441380,3.49E-08,5.61E-05,0.43956044,0.656671962
18459813,3.26E-08,8.89E-05,0.111111111,0.909918107
18463828,,,0.581749049,0.548109966
18473173,4.95E-08,0.00045615,0.877108434,0.781808623
18510639,8.12E-05,0,0.603396603,0.76866189
18576332,2.04E-05,0,0.647196262,0.659777424
18581153,5.49E-06,0,0.106359649,0.197889182
18603088,,,0.716461204,0.523935558
18671285,1.47E-05,0,0.446640316,0.441501104
18735790,,,0.385650224,0.48018648
18874774,2.59E-06,0,0.229166667,0.52238806
18917949,5.13E-05,0,0.407169118,0.491826249
18989002,,,0.00984252,0.831117021
18995476,8.28E-06,0,0.100877193,0.331378299
18997161,,,0.258595989,0.378727192
19171028,7.66E-05,0,0.286127168,0.693737553
19190434,1.54E-05,0,0.461538462,0.419720187
19254862,1.20E-05,0,0.483709273,0.552690583
19300510,8.11E-06,0,0.161879896,0.464335664
19335843,8.62E-06,0,0.509915014,0.5
19368233,2.81E-06,0,0.727272727,0.721518987
19406030,1.98E-06,0,0.206349206,0.388349515
19557634,4.87E-08,0.000329468,0.035327367,0.701951425
19600027,4.35E-06,0,0.188372093,0.292763158
19620476,9.28E-06,0,0.4075,0.487836108
19701419,2.87E-08,0,0.213953488,0.491725768
19706832,4.15E-08,0.000109281,0.527777778,0.64280652
19759124,8.08E-08,0.000317635,0.59311981,0.451171875
19849696,3.61E-05,0,0.43045388,0.418558456
19861856,3.98E-05,0,0.420731707,0.554196398
20114963,6.74E-06,0,0.326530612,0.73655914
20139449,5.97E-05,0,0.770631068,0.747935148
20197815,5.81E-05,0,0.853612167,0.693294461
20219315,1.24E-05,0,0.517361111,0.637279597
20301520,6.67E-06,0,0.134992459,0.172800998
20307019,6.70E-05,0,0.51001226,0.528516378
20308222,3.00E-05,0,0.776280323,0.523952096
20338242,0.000122033,0,0.8804,0.5
20412275,1.31E-05,0,0.187767584,0.246890834
20455924,5.52E-06,0,0.298969072,0.434951456
20467948,1.04E-05,0,0.10291439,0.280471822
20849470,5.54E-06,0,0.738461538,0.776632302
21026345,5.64E-06,0,0.346153846,0.637883008
21127172,1.70E-05,0,0.503617945,0.502161383
21131225,8.94E-06,0,0.216911765,0.575
21133252,4.93E-06,0,0.096520763,0.184065934
21238673,5.76E-06,0,0.084265474,0.149111675
21253156,2.83E-06,0,0.147540984,0.38590604
21257459,9.40E-06,0,0.490666667,0.505277045
21281949,3.34E-05,0,0.441712204,0.555105348
21289751,3.97E-05,0,0.402298851,0.471201158
21345227,9.02E-05,0,0.457221711,0.53106126
21356765,0.000120691,0,0.88372093,0.8984375
21388359,1.18E-06,0,0.071428571,0.186046512
21425831,1.35E-05,0,0.456066946,0.699371069
21479914,5.07E-08,7.10E-05,0.984662577,0.553424658
21622362,1.19E-05,0,0.630498534,0.588164251
21634018,6.39E-07,0,0.022222222,0.126213592
21671968,2.79E-06,0,0.214285714,0.402135231
21714748,2.40E-06,0,0.0236822,0.068990043
21770069,0.000108125,0,0.2,0.9800929
21959183,6.49E-05,0,0.290896407,0.480804057
21967892,1.23E-05,0,0.987616099,0.610373945
22015750,4.65E-05,0,0.3602537,0.446654188
22020084,,,0.054600607,0.461328976
22037090,7.50E-06,0,0.986206897,0.513422819
22126409,5.08E-06,0,0.080165289,0.146083275
22173597,4.10E-06,0,0.165517241,0.225634179
22201064,3.52E-06,0,0.123966942,0.191176471
22207145,2.08E-05,0,0.414545455,0.507756563
22278466,2.14E-05,0,0.202806122,0.360261118
22437394,8.67E-05,0,0.654545455,0.970027248
22437649,7.26E-05,0,0.2724,0.373197944
22600059,,,0.085714286,0.326923077
22600734,4.58E-08,0.000135035,0.948051948,0.854716981
22638250,1.56E-05,0,0.229126214,0.553339115
22710614,,,0,0
22728442,5.26E-08,7.80E-05,0.976608187,0.558139535
22755015,3.21E-05,0,0.336945813,0.564564565
22759829,6.10E-08,0.000116474,0.986394558,0.534810127
22798846,2.87E-08,0,0.302904564,0.369659983
22812325,3.03E-06,0,0.30075188,0.48046875
22826212,5.07E-08,7.10E-05,0.978494624,0.630952381
22936398,3.24E-05,0,0.403954802,0.428663654
22951310,8.11E-08,0.001160098,0.31372549,0.471576589
22994885,2.87E-08,0,0.511677282,0.756463289
23026561,0.000122033,0,0.130171544,0.557786702
23132833,1.22E-05,0,0.191449814,0.480193237
23276140,8.23E-06,0,0.986348123,0.53343949
23373555,5.26E-08,7.80E-05,0.973568282,0.548707753
23396217,5.67E-06,0,0.205761317,0.322175732
23413533,2.91E-05,0,0.866866867,0.544251825
23498472,1.14E-05,0,0.295384615,0.417040359
23567222,1.63E-05,0,0.362030905,0.595896521
23571734,8.89E-06,0,0.429104478,0.40378198
23748269,,,0.217261905,0.319838057
23749423,3.24E-05,0,0.985,0.690721649
23770754,3.34E-08,4.66E-05,0.337579618,0.411985019
23808818,4.43E-08,2.20E-05,0.243100022,0.524714031
23847948,3.86E-06,0,0.102725367,0.248818898
23871022,2.86E-05,0,0.428571429,0.722943723
23899165,4.95E-08,0.000162414,0.989858012,0.586756077
24080811,0.000122033,0,0.866580311,0.866250866
24104971,3.88E-08,0.000395361,0.351074719,0.83654007
24164443,5.56E-05,0,0.537151703,0.778842862
24176877,4.15E-08,0.000109281,0.485294118,0.697104677
24197313,,,0.20745429,0.539607166
24255637,6.79E-05,0,0.528407575,0.426583053
24295753,9.41E-08,0.000618332,0.865051903,0.756529065
24298833,6.15E-08,8.63E-05,0.971659919,0.591059603
24321756,9.11E-06,0,0.970338983,0.613747954
24386710,1.18E-06,0,0.337349398,0.361538462
24663107,6.37E-06,0,0.303652968,0.372492837
24725275,1.15E-06,0,0.194029851,0.255555556
24801407,1.20E-06,0,0.11827957,0.335714286
24816799,1.70E-07,0.000155917,0.899408284,0.744133232
24984561,1.14E-05,0,0.302752294,0.321576763
25085431,2.35E-06,0,0.296875,0.426008969
25121744,3.30E-05,0,0.310719834,0.575790861
25184645,4.02E-08,0.00027912,0.423879041,0.483297414
25258953,1.75E-05,0,0.744761905,0.577294686
25295146,6.15E-08,8.63E-05,0.972111554,0.587848933
25484842,9.98E-06,0,0.228773585,0.324302789
25693756,2.16E-05,0,0.30705963,0.378355347
25711830,2.22E-05,0,0.170490506,0.265329846
25759948,1.11E-05,0,0.43442623,0.426691729
25793082,8.80E-05,0,0.789719626,0.894006934
25911628,6.98E-06,0,0.518987342,0.474209651
25965427,1.01E-05,0,0.372881356,0.537254902
26022358,3.94E-05,0,0.894056848,0.511979823
26061230,1.17E-07,0.000715084,0.546519642,0.532689211
26135125,3.38E-05,0,0.567039106,0.659857482
26152572,1.01E-05,0,0.307692308,0.438947368
26192354,5.41E-07,0,0.3125,0.396226415
26203719,2.12E-07,0.001147337,0.548489666,0.457758621
26261259,1.00E-06,0,0.324675325,0.341880342
26621229,3.35E-05,0,0.477559607,0.490168037
26967415,5.62E-06,0,0.143661972,0.391080617
26970502,1.69E-05,0,0.612903226,0.735607676
27014940,3.86E-06,0,0.163934426,0.222379603
27119540,3.37E-05,0,0.906752412,0.816410862
27241975,4.86E-06,0,0.182352941,0.536784741
27244453,1.17E-07,0.000715084,0.147482014,0.748643761
27292659,1.79E-05,0,0.57918552,0.525411596
27327680,5.07E-08,4.41E-06,0.4,0.658119658
27372659,6.62E-08,0.000253829,0.306320908,0.524653313
27422705,4.59E-06,0,0.255813953,0.301948052
27493957,9.01E-06,0,0.740506329,0.699619772
27570114,9.25E-06,0,0.246376812,0.578625954
27582887,1.64E-05,0,0.214285714,0.959827834
27611640,4.37E-06,0,0.232258065,0.534534535
27623289,3.86E-06,0,0.182008368,0.247244094
27679500,2.93E-06,0,0.355140187,0.526548673
27746415,1.85E-05,0,0.266209476,0.319762511
27762544,,,0.447916667,0.719298246
27785160,4.98E-06,0,0.666666667,0.828571429
28063382,1.07E-05,0,0.262847515,0.270884521
28088585,9.63E-08,0.000234804,0.210391823,0.584865629
28140565,1.14E-05,0,0.392917369,0.440037771
28298712,7.14E-05,0,0.673774955,0.57037037
28363979,5.90E-07,0,0.139240506,0.225490196
28414223,6.76E-06,0,0.168377823,0.361730013
28433521,7.37E-06,0,0.250353607,0.298611111
28588774,6.20E-06,0,0.464646465,0.56097561
28605490,1.30E-05,0,0.108614232,0.66583229
28687359,3.15E-08,3.97E-05,0.8382,0.5
28757342,1.71E-06,0,0.060708263,0.102874433
28758925,2.87E-08,0,0.598808342,0.502593233
28845598,1.99E-05,0,0.834090909,0.649122807
28962012,3.84E-06,0,0.328671329,0.518518519
29062641,1.04E-05,0,0.335051546,0.523341523
29115886,8.11E-08,0.001160098,0.170526316,0.319484241
29293281,8.72E-05,0,0.74015748,0.824180895
29396889,3.32E-06,0,0.151351351,0.421875
29485766,1.20E-06,0,0.283333333,0.444444444
29510629,2.05E-06,0,0.075324675,0.179104478
29536164,1.04E-05,0,0.555910543,0.574728261
29710654,2.87E-08,0,0.131433096,0.291245791
29745877,1.47E-07,0.000282136,0.686397985,0.630869363
29770248,3.25E-06,0,0.10615199,0.13735692
29822733,3.27E-06,0,0.151685393,0.15739645
29867936,8.77E-08,0.000535733,0.752,0.639026403
30059111,6.32E-06,0,0.133704735,0.41815235
30089873,1.72E-05,0,0.165366615,0.524480712
30146653,8.64E-06,0,0.13963964,0.443609023
30147416,0.000122033,0,0.80788976,0.574646592
30240322,1.53E-05,0,0.158412236,0.185163205
30429133,4.95E-08,0.000196289,0.693140794,0.617931034
30566308,4.32E-05,0,0,0
30750923,3.81E-06,0,0.592178771,0.46884273
30759478,3.89E-05,0,0.243852459,0.521255723
31040071,8.13E-06,0,0.236111111,0.2793995
31107779,3.84E-08,5.94E-05,0.136904762,0.280513919
31135311,4.15E-08,0.000109281,0.208711434,0.316377171
31162918,1.67E-05,0,0.331487889,0.320958647
31290927,2.87E-08,0,0.363207547,0.424694708
31393396,8.45E-06,0,0.900621118,0.684313725
32025215,9.98E-06,0,0.260377358,0.434364995
32130104,3.66E-08,0.000131091,0.345081967,0.599737533
32148675,3.72E-05,0,0.144794401,0.400314795
32255772,8.50E-06,0,0.5125,0.464524766
32289927,7.18E-06,0,0.329545455,0.294589178
32494880,3.44E-05,0,0.614814815,0.511754069
32628646,1.17E-07,0.000715084,0.34126258,0.38972641
32682158,4.92E-07,0,0.127659574,0.168141593
32688131,3.44E-05,0,0.623735671,0.485605272
32831822,3.20E-05,0,0.962105263,0.733445567
32988810,5.13E-08,0.000132947,0.504310345,0.522633745
33091144,6.98E-06,0,0.229083665,0.360509554
33114252,5.07E-08,7.10E-05,0.985815603,0.505263158
33621311,2.32E-05,0,0.172876304,0.586057989
33651270,,,0.272277228,0.621722846
33696967,5.49E-08,0.000126683,0.374639769,0.382012467
33726503,2.06E-05,0,0.297762478,0.325986079
33747826,5.66E-07,0,0.344827586,0.431372549
33764583,4.08E-06,0,0.424050633,0.512345679
33894397,8.76E-06,0,0.21627409,0.433939394
33950491,2.73E-05,0,0.438897168,0.454249695
33950570,1.91E-05,0,0.488047809,0.342645133
33999110,1.93E-05,0,0.335820896,0.370300752
34116023,5.43E-08,0.000878194,0.0832,0.5
34160482,1.91E-06,0,0.129834254,0.175398633
34308947,6.67E-06,0,0.676470588,0.570526316
34580222,9.79E-08,0.000132019,0.340329835,0.360498562
34742971,5.25E-08,0.000296521,0.568181818,0.881629516
34897604,,,0.735294118,0.738461538
35248593,,,0.31712963,0.55186722
35377886,3.22E-05,0,0.7585693,0.495298985
35531101,6.18E-06,0,0.209375,0.207266722
35558229,9.71E-05,0,0.506493506,0.962729913
35941580,1.17E-07,0.000715084,0.297356828,0.286163522
35942782,3.20E-06,0,0.275423729,0.355191257
36080377,5.24E-08,0.000109745,0.402945114,0.438345865
36174865,4.95E-08,0.00045615,0.595459236,0.652812612
36174874,,,0.136842105,0.293680297
36234951,1.50E-05,0,0.622727273,0.580952381
36286962,8.15E-05,0,0.525477707,0.841693975
36381609,9.94E-06,0,0.488745981,0.566248257
36559020,3.10E-06,0,0.146496815,0.286363636
36727238,5.57E-06,0,0.099201824,0.205615942
36874110,2.49E-05,0,0.912195122,0.712885154
36897295,7.52E-06,0,0.55,0.489633174
37060280,1.74E-06,0,0.146718147,0.212765957
37186955,1.47E-06,0,0.26,0.371069182
37204587,3.34E-08,4.66E-05,0.355421687,0.658436214
37407255,1.01E-07,0.00094896,0.157587549,0.906782735
37733715,4.84E-06,0,0.225053079,0.295964126
37794895,1.45E-05,0,0.261089987,0.43032491
37968904,4.95E-08,0.000162414,0.991023339,0.595791001
38022438,4.95E-08,0.000162414,0.990689013,0.538263113
38035912,4.95E-08,0.000162414,0.99070632,0.586789555
38038554,4.95E-08,0.000162414,0.990740741,0.595505618
38040720,4.95E-08,0.000162414,0.990671642,0.523978686
38040983,4.95E-08,0.000162414,0.990671642,0.546147333
38052783,1.71E-05,0,0.990689013,0.569020867
38077486,9.41E-08,0.000618332,0.41474395,0.423613364
38094693,4.95E-08,0.000162414,0.990671642,0.561733442
38164030,4.95E-08,0.000162414,0.99015748,0.53649635
38199599,6.45E-06,0,0.396551724,0.602739726
38236392,4.95E-08,0.000162414,0.990384615,0.524680073
38433789,1.18E-05,0,0.162601626,0.797029703
38679217,3.27E-06,0,0.202272727,0.234782609
38788028,0.000122033,0,0.943025955,0.513399733
38904230,4.71E-06,0,0.069579288,0.133847232
39030312,4.69E-06,0,0.39380531,0.458033573
39220893,3.54E-05,0,0.687239945,0.502071823
39232035,7.59E-06,0,0,0
39260049,1.00E-05,0,0.477855478,0.489285714
39720245,2.60E-05,0,0.823529412,0.641782059
40008819,1.47E-06,0,0.131455399,0.216911765
40108440,8.42E-06,0,0.157439446,0.372421281
40219052,7.57E-06,0,0.366412214,0.541155867
40241204,8.15E-06,0,0.224390244,0.349894292
40247721,9.64E-06,0,0.5,0.417989418
40368888,8.04E-05,0,0.967320261,0.705139186
40502358,5.21E-05,0,0.517621145,0.701904137
40673360,4.98E-06,0,0.16097561,0.49754902
40812882,3.01E-05,0,0.3176,0.496576722
40831469,9.86E-06,0,0.788888889,0.690721649
40897354,4.95E-08,0.001160098,0.97656954,0.527533352
41062153,1.19E-05,0,0.976744186,0.559726962
41171426,4.12E-08,0.000413227,0.125581395,0.248251748
41216470,1.17E-05,0,0.70719603,0.54152446
41242157,4.35E-08,7.73E-05,0.435897436,0.478696742
41463548,6.62E-06,0,0.222222222,0.731707317
41621024,4.95E-08,0.000162414,0.990791897,0.636058981
41638484,4.95E-08,0.000162414,0.990548204,0.581487342
41678763,4.56E-05,0,0.597420231,0.559114038
41699604,4.95E-08,0.000162414,0.990039841,0.56271777
41779886,2.19E-05,0,0.39011925,0.604447439
41825429,0.000122033,0,0.1498,0.5
41950305,4.09E-05,0,0.702261307,0.677732794
41950696,1.38E-05,0,0.407871199,0.336892052
42002841,3.96E-06,0,0.142465753,0.308712121
42127872,1.02E-05,0,0.619808307,0.571819425
42157296,4.95E-08,0.000162414,0.989858012,0.559821429
42157433,4.95E-08,0.000162414,0.989858012,0.543518519
42173055,8.67E-08,0.001160098,0.227586207,0.316037736
42207885,9.23E-06,0,0.590769231,0.539660057
42244063,2.94E-05,0,0.387764489,0.355851852
42339113,5.96E-08,0.00014014,0.918149466,0.752422907
42401379,1.32E-05,0,0.391618497,0.437855402
42434209,5.02E-08,0.001010677,0.222046414,0.287753569
42580296,1.39E-05,0,0.892857143,0.629139073
42642152,5.42E-05,0,0.511111111,0.980141218
42772007,6.28E-05,0,0.979749277,0.553306052
43015189,5.62E-08,0.000678193,0.37037037,0.415584416
43136801,1.36E-05,0,0.62745098,0.60898138
43168457,5.31E-08,0.000796059,0.758951084,0.490820388
43289403,1.23E-05,0,0.098662207,0.454379562
43476480,4.18E-08,8.07E-05,0.380769231,0.293478261
43573115,4.35E-06,0,0.061378659,0.141815235
43761179,2.50E-05,0,0.713286713,0.545068929
43831327,4.26E-05,0,0.428663239,0.528770442
43870029,1.88E-06,0,0.179012346,0.319327731
43897661,4.62E-06,0,0.308539945,0.342391304
43964510,1.25E-07,0.00077889,0.698517818,0.611920206
44306351,1.06E-05,0,0.190782422,0.317982456
44451302,1.03E-05,0,0.645476773,0.507821901
44526814,3.69E-06,0,0.170542636,0.535971223
44660556,2.71E-06,0,0.236686391,0.394265233
44686891,7.93E-05,0,0.615857605,0.512079583
44850701,1.83E-06,0,0.088235294,0.685185185
45186390,,,0.628318584,0.781431335
45399578,,,0.12295082,0.195604396
45449023,6.35E-08,0.000153133,0.576530612,0.455555556
45550569,4.29E-05,0,0.549132948,0.91026971
45562154,,,0.271523179,0.383673469
45598301,3.10E-06,0,0.166666667,0.336927224
45627569,4.95E-08,0.001160098,0.5404,0.5
45689818,3.15E-06,0,0.082236842,0.296296296
45778279,2.37E-05,0,0.645901639,0.760220126
45859110,1.02E-05,0,0.257435897,0.300573888
46137662,1.32E-05,0,0.534918276,0.445177246
46331521,9.94E-05,0,0.924137931,0.823957912
46683993,1.47E-05,0,0.376623377,0.394891945
46695342,7.42E-06,0,0.603174603,0.705607477
46751718,0.000122033,0,0.960707269,0.583907509
46961288,2.20E-06,0,0.094594595,0.229166667
47081262,7.94E-08,0.000389561,0.186388244,0.286423841
47161971,6.40E-06,0,0.285964912,0.314079422
47291639,4.60E-08,0.000386313,0.098006645,0.892538379
47417665,2.42E-06,0,0.072769953,0.188571429
47463837,,,0.716875872,0.514227642
47612213,1.32E-06,0,0.074340528,0.114649682
47637732,1.16E-05,0,0.263591433,0.280379372
47740610,6.27E-05,0,0.981632653,0.723710178
48008292,6.32E-05,0,0.486505351,0.377281947
48174034,7.71E-06,0,0.166666667,0.497630332
48292264,2.47E-06,0,0.350877193,0.46728972
48357793,9.41E-08,0.000618332,0.442105263,0.437869822
48460955,1.76E-06,0,0.118110236,0.218461538
48515636,9.76E-06,0,0.117132867,0.409700722
48552476,3.86E-08,0.000112762,0.3125,0.507936508
48587561,1.10E-05,0,0.846441948,0.627094972
48726258,6.63E-05,0,0.23151909,0.688433308
48806695,5.67E-06,0,0.101041667,0.195305951
48896966,2.06E-05,0,0.480769231,0.843687375
48928145,0.000122033,0,0.020518359,0.843739453
49007031,2.71E-05,0,0.931034483,0.845509893
49191725,8.20E-06,0,0.417266187,0.325897187
49233584,4.93E-06,0,0.108781127,0.116386798
49240687,5.54E-06,0,0.589473684,0.444444444
49319803,1.47E-05,0,0.284810127,0.559479554
49341424,4.54E-06,0,0.300813008,0.429234339
49446305,,,0.260989011,0.288367546
49691940,1.15E-07,0.000264966,0.963071758,0.661361376
49709134,2.01E-05,0,0.4625,0.773798303
49821514,0.000122033,0,0.196390658,0.841467519
50034798,1.92E-05,0,0.151114781,0.24477705
50252197,4.95E-08,0.00035151,0,0
50346336,1.87E-05,0,0.31011236,0.632838284
50357236,1.32E-05,0,0.719047619,0.718875502
50382485,4.95E-08,0.000162414,0.990723562,0.533333333
50598277,8.18E-06,0,0.240647118,0.254147813
50606582,1.44E-05,0,0.310559006,0.552363299
50650272,3.27E-06,0,0.380434783,0.417721519
50683007,7.08E-06,0,0.11579818,0.194536975
50684694,1.25E-06,0,0.037313433,0.159874608
50688407,8.52E-06,0,0.387387387,0.384700665
50737284,4.95E-08,0.00045615,0.931640625,0.740628166
50901303,2.87E-05,0,0.433962264,0.688784498
50972738,1.05E-05,0,0.283154122,0.338339921
51005435,1.93E-06,0,0.042744657,0.08255934
51037293,7.25E-06,0,0.199619772,0.361650485
